index,complaints,transactions_ytd,avg_tr_amt,time_on_site,total_discounts,num_reviews,avg_review,returns,latest_review,num_total_purchases,purchase_made_last_month
0,6,16,169.65,517,134.11,10,2.63,13,3,31,Yes
1,7,15,160.8,160.8,125.75,6,1.92,12,3,44,Yes
2,4,11,165.13,165.13,124.16,7,2.27,16,2,30,Yes
3,4,12,184.29,184.29,164.87,7,3.33,7,3,31,No
4,5,19,224.24,224.24,204.93,13,3.75,0,3,43,Yes
5,6,8,183.71,183.71,108.52,9,3.58,8,4,32,No
6,4,13,204.67,204.67,135.98,7,3.39,12,2,47,Yes
7,11,16,179.68,179.68,191.21,9,3.35,7,4,34,No
8,9,14,191.11,191.11,166.92,10,3.33,13,3,36,No
9,7,13,177.42,177.42,116.18,6,2.9,12,3,36,No
10,6,12,181.52,181.52,173.9,7,3,11,3,28,No
11,8,6,180.2,180.2,45.55,8,3.75,8,4,31,No
12,6,13,154.25,154.25,91.61,6,2.28,11,2,41,Yes
13,7,16,179.34,179.34,136.4,11,2.86,12,3,35,Yes
14,5,17,169.93,169.93,123.89,5,2.59,8,2,48,Yes
15,5,13,194.15,194.15,114.88,6,2.85,16,3,38,No
16,8,19,172.11,172.11,168.45,10,2.67,9,3,38,No
17,6,12,174.92,174.92,107.57,8,2.8,8,3,42,Yes
18,6,14,179.39,179.39,153.62,10,2.7,11,3,39,Yes
19,7,18,171.78,171.78,114.52,7,2.49,12,3,41,Yes
20,6,12,190.12,190.12,111.62,9,3.48,11,2,41,Yes
21,7,15,195.04,195.04,157.91,12,3.16,10,4,40,Yes
22,7,17,193.21,193.21,165.83,9,2.88,12,4,38,No
23,7,18,169.02,169.02,114.64,7,2.51,11,3,44,Yes
24,9,9,185.08,185.08,61.23,8,3.95,11,3,34,No
25,9,14,154.43,154.43,128.26,7,2.65,7,3,33,No
26,7,15,161.3,161.3,132.39,9,2.33,11,4,32,No
27,5,15,195,195,119.39,9,3.26,12,3,41,Yes
28,6,14,188.96,188.96,128.71,10,2.9,12,3,41,Yes
29,6,9,198.82,198.82,157.6,8,3.4,11,4,39,No
30,6,14,207.39,207.39,138.91,11,3.92,10,3,43,Yes
31,9,10,179.93,179.93,127.05,11,3.55,11,3,27,No
32,6,19,197.35,197.35,158.11,9,3.05,12,4,40,No
33,7,16,170.49,170.49,128.2,9,2.27,15,3,38,No
34,3,16,179.91,179.91,85.74,10,2.69,9,3,47,Yes
35,5,11,178,178,135.52,7,3.41,6,4,28,No
36,9,7,184.13,184.13,91.13,9,3.37,9,4,38,No
37,5,15,197.11,197.11,166.1,11,2.85,15,3,41,Yes
38,4,11,190.71,190.71,128.71,8,3.17,13,2,41,Yes
39,7,12,196.2,196.2,127.52,10,3.51,11,4,37,Yes
40,6,13,180.61,180.61,140.18,8,2.62,11,3,45,Yes
